event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Time For Three;Federal Way Performing Arts Event Center Theater;31510 Pete von Reichbauer Way South;98003;Federal Way;WA;;2024-03-14;19:30;131;172;https://seatgeek.com/time-for-three-tickets/federal-way-washington-federal-way-performing-arts-event-center-theater-2-2024-03-14-7-30-pm/concert/6232409
Chelsea Cutler;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-14;20:00;63;451;https://seatgeek.com/chelsea-cutler-tickets/seattle-washington-showbox-sodo-2024-03-14-8-pm/concert/6240728
Blake Shelton;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-03-15;19:00;88;7303;https://seatgeek.com/blake-shelton-tickets/tacoma-washington-tacoma-dome-2024-03-15-7-pm/concert/6239697
Tiffany;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2024-03-15;19:00;172;287;https://seatgeek.com/tiffany-tickets/kirkland-washington-kirkland-performance-center-2024-03-15-7-pm/concert/6226038
Glenn Miller Orchestra;Benaroya Hall;200 University Street;98101;Seattle;WA;;2024-03-15;20:00;79;183;https://seatgeek.com/glenn-miller-orchestra-tickets/seattle-washington-benaroya-hall-2024-03-15-8-pm/concert/6231383
Ricky Montgomery;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-03-16;19:30;75;1164;https://seatgeek.com/ricky-montgomery-tickets/seattle-washington-the-showbox-2024-03-16-7-30-pm/concert/6208228
Warren Zeiders;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-16;20:00;87;1164;https://seatgeek.com/warren-zeiders-tickets/seattle-washington-showbox-sodo-2024-03-16-8-pm/concert/6250625
Big Something with The Ries Brothers (21+);Tractor Tavern;5213 Ballard Ave NW;98107;Seattle;WA;;2024-03-16;21:00;52;52;https://seatgeek.com/big-something-tickets/seattle-washington-tractor-tavern-2024-03-16-9-pm/concert/6168269
Umphrey's McGee (21+);The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-03-17;20:00;76;451;https://seatgeek.com/umphrey-s-mcgee-tickets/seattle-washington-the-showbox-2024-03-17-8-pm/concert/6238653
Briston Maroney with snarls;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-03-18;20:00;52;524;https://seatgeek.com/briston-maroney-tickets/seattle-washington-neptune-theatre-wa-2024-03-18-8-pm/concert/6186987
Briston Maroney with snarls;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-03-19;20:00;48;220;https://seatgeek.com/briston-maroney-tickets/seattle-washington-neptune-theatre-wa-2024-03-19-8-pm/concert/6194794
MANIA: The ABBA Tribute;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-03-20;19:30;56;1789;https://seatgeek.com/abba-mania-tickets/seattle-washington-neptune-theatre-wa-2024-03-20-7-30-pm/concert/6025906
Dadi Freyr (21+);Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-22;21:00;70;1119;https://seatgeek.com/dadi-freyr-tickets/seattle-washington-showbox-sodo-2024-03-22-9-pm/concert/6222851
Alkaline Trio;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-23;20:00;70;451;https://seatgeek.com/alkaline-trio-tickets/seattle-washington-showbox-sodo-2024-03-23-8-pm/concert/6240105
Jhayco;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-03-23;20:00;84;803;https://seatgeek.com/jhayco-1-tickets/seattle-washington-moore-theatre-2024-03-23-8-pm/concert/6253388
DakhaBrakha;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-03-28;19:30;53;150;https://seatgeek.com/dakhabrakha-tickets/seattle-washington-moore-theatre-2024-03-28-7-30-pm/concert/6184949
HEALTH with Pixel Grip;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-03-28;20:30;53;510;https://seatgeek.com/health-tickets/seattle-washington-the-showbox-2024-03-28-8-30-pm/concert/6217978
Tim McGraw with Carly Pearce;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-03-29;19:00;59;3127;https://seatgeek.com/tim-mcgraw-tickets/seattle-washington-climate-pledge-arena-3-2024-03-29-7-pm/concert/6106101
Sleater-Kinney (21+);The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-04-02;20:30;70;495;https://seatgeek.com/sleater-kinney-tickets/seattle-washington-the-showbox-2024-04-02-8-30-pm/concert/6214083
Matt Maltese;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-04-03;20:00;51;545;https://seatgeek.com/matt-maltese-tickets/seattle-washington-neptune-theatre-wa-2024-04-03-8-pm/concert/6202637
Sleater-Kinney (21+);The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-04-03;20:30;70;515;https://seatgeek.com/sleater-kinney-tickets/seattle-washington-the-showbox-2024-04-03-8-30-pm/concert/6214086
Luis Miguel;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-04-04;20:00;106;10636;https://seatgeek.com/luis-miguel-tickets/seattle-washington-climate-pledge-arena-3-2024-04-04-8-pm/concert/6111285
Brutus (21+);Neumos;925 East Pike Street;98122;Seattle;WA;;2024-04-07;19:00;49;524;https://seatgeek.com/brutus-tickets/seattle-washington-neumos-2024-04-07-7-pm/concert/6183182
Kronos Quartet;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-04-11;19:30;71;166;https://seatgeek.com/kronos-quartet-tickets/seattle-washington-moore-theatre-2024-04-11-7-30-pm/concert/6063454
Booker T. Jones;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2024-04-12;19:00;183;193;https://seatgeek.com/booker-t-jones-tickets/kirkland-washington-kirkland-performance-center-2024-04-12-7-pm/concert/6230354
BoyWithUke;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-04-12;20:00;58;1164;https://seatgeek.com/boywithuke-tickets/seattle-washington-showbox-sodo-2024-04-12-8-pm/concert/6251220
Andres Cepeda;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-04-15;19:30;79;183;https://seatgeek.com/andres-cepeda-tickets/seattle-washington-neptune-theatre-wa-2024-04-15-7-30-pm/concert/6225688
BoyWithUke;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2024-04-19;20:00;47;160;https://seatgeek.com/boywithuke-tickets/bremerton-washington-admiral-theatre-2024-04-19-8-pm/concert/6255255
Roger McGuinn;Edmonds Center for the Arts;410 Fourth Avenue North;98020;Edmonds;WA;;2024-04-20;19:30;71;198;https://seatgeek.com/roger-mcguinn-tickets/edmonds-washington-edmonds-center-for-the-arts-2024-04-20-7-30-pm/concert/6177437
Red Hot Chilli Pipers - Tribute;Federal Way Performing Arts Event Center Theater;31510 Pete von Reichbauer Way South;98003;Federal Way;WA;;2024-04-21;19:00;126;183;https://seatgeek.com/red-hot-chilli-pipers-tickets/federal-way-washington-federal-way-performing-arts-event-center-theater-2-2024-04-21-7-pm/concert/6245849
Al Stewart;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2024-04-24;19:00;91;240;https://seatgeek.com/al-stewart-tickets/kirkland-washington-kirkland-performance-center-2024-04-24-7-pm/concert/6221872
Giant Rooks;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-04-26;18:00;54;236;https://seatgeek.com/giant-rooks-tickets/seattle-washington-the-crocodile-2-2024-04-26-6-pm/concert/6219900
Zakir Hussain;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-04-26;20:00;66;159;https://seatgeek.com/zakir-hussain-tickets/seattle-washington-moore-theatre-2024-04-26-8-pm/concert/6063458
