event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Benise;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-07-26;19:30;56;222;https://seatgeek.com/benise-tickets/seattle-washington-neptune-theatre-wa-2024-07-26-7-30-pm/concert/6238958
Chris Stapleton with Willie Nelson and Sheryl Crow;T-Mobile Park;1250 First Avenue;98134;Seattle;WA;;2024-07-27;18:30;152;2318;https://seatgeek.com/chris-stapleton-tickets/seattle-washington-t-mobile-park-2024-07-27-6-30-pm/concert/6251561
Olivia Rodrigo with PinkPantheress;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-08-06;19:30;295;11704;https://seatgeek.com/olivia-rodrigo-tickets/seattle-washington-climate-pledge-arena-3-2024-08-06-7-30-pm/concert/6178778
Olivia Rodrigo with PinkPantheress;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-08-07;19:30;280;76873;https://seatgeek.com/olivia-rodrigo-tickets/seattle-washington-climate-pledge-arena-3-2024-08-07-7-30-pm/concert/6184061
Kane Brown with Chris Young, LOCASH, & RaeLynn;T-Mobile Park;1250 First Avenue;98134;Seattle;WA;;2024-08-16;19:00;88;4099;https://seatgeek.com/kane-brown-tickets/seattle-washington-t-mobile-park-2024-08-16-7-pm/concert/6191172
Foo Fighters with Pretenders and Alex G;T-Mobile Park;1250 First Avenue;98134;Seattle;WA;;2024-08-18;17:30;87;2455;https://seatgeek.com/foo-fighters-tickets/seattle-washington-t-mobile-park-2024-08-18-5-30-pm/concert/6206073
Metallica with Pantera, Five Finger Death Punch, Mammoth WVH and Ice Nine Kills (2 Day Pass);Lumen Field;800 Occidental Ave S;98134;Seattle;WA;;2024-08-30;03:30;144;63533;https://seatgeek.com/metallica-tickets/seattle-washington-lumen-field-2024-08-30-3-30-am/concert/5881771
Metallica with Pantera and Mammoth WVH;Lumen Field;800 Occidental Ave S;98134;Seattle;WA;;2024-08-30;18:00;80;214749;https://seatgeek.com/metallica-tickets/seattle-washington-lumen-field-2024-08-30-6-pm/concert/5881801
Metallica with Five Finger Death Punch and Ice Nine Kills;Lumen Field;800 Occidental Ave S;98134;Seattle;WA;;2024-09-01;18:00;84;5339;https://seatgeek.com/metallica-tickets/seattle-washington-lumen-field-2024-09-01-6-pm/concert/5881822
Lynyrd Skynyrd + ZZ Top;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-09-21;19:00;79;884;https://seatgeek.com/lynyrd-skynyrd-tickets/auburn-washington-white-river-amphitheatre-2024-09-21-7-pm/concert/6255504
Gloria Trevi with MAR;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-09-22;20:00;55;1492;https://seatgeek.com/gloria-trevi-tickets/auburn-washington-white-river-amphitheatre-2024-09-22-8-pm/concert/6228668
Lainey Wilson with Jackson Dean and Zach Top;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-09-27;19:00;84;1231;https://seatgeek.com/lainey-wilson-tickets/auburn-washington-white-river-amphitheatre-2024-09-27-7-pm/concert/6241338
Zach Bryan with Matt Maeson and Levi Turner;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-11-22;19:00;135;3908;https://seatgeek.com/zach-bryan-tickets/tacoma-washington-tacoma-dome-2024-11-22-7-pm/concert/6157453
Zach Bryan with Matt Maeson and Levi Turner;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-11-23;19:00;119;4029;https://seatgeek.com/zach-bryan-tickets/tacoma-washington-tacoma-dome-2024-11-23-7-pm/concert/6157455
Coven and Lucifer (21+);Substation Seattle;645 Northwest 45th Street;98107;Seattle;WA;;2023-11-15;19:00;60;76;https://seatgeek.com/lucifer-tickets/seattle-washington-substation-seattle-2023-11-15-7-pm/concert/6161529
St. Paul & the Broken Bones;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-11-15;20:00;56;283;https://seatgeek.com/st-paul-the-broken-bones-tickets/seattle-washington-moore-theatre-2023-11-15-8-pm/concert/6014380
Nessa Barrett;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2023-11-15;20:00;61;1140;https://seatgeek.com/nessa-barrett-tickets/seattle-washington-showbox-sodo-2023-11-15-8-pm/concert/6144522
Joy Oladokun;The Showbox;1426 1st Ave;98101;Seattle;WA;;2023-11-15;20:00;51;544;https://seatgeek.com/joy-oladokun-tickets/seattle-washington-the-showbox-2023-11-15-8-pm/concert/6117580
Jimmy Brown with ROVV;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2023-11-15;20:00;84;393;https://seatgeek.com/jimmy-brown-tickets/seattle-washington-the-crocodile-2-2023-11-15-8-pm/concert/6239458
Siddhartha;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-11-15;20:00;68;451;https://seatgeek.com/siddhartha-tickets/seattle-washington-neptune-theatre-wa-2023-11-15-8-pm/concert/5971235
Jake Shimabukuro;Federal Way Performing Arts Event Center Theater;31510 Pete von Reichbauer Way South;98003;Federal Way;WA;;2023-11-15;20:00;81;149;https://seatgeek.com/jake-shimabukuro-tickets/federal-way-washington-federal-way-performing-arts-event-center-theater-2-2023-11-15-8-pm/concert/6178339
Angel Du$t;Neumos;925 East Pike Street;98122;Seattle;WA;;2023-11-16;18:00;60;545;https://seatgeek.com/angel-du-t-tickets/seattle-washington-neumos-2023-11-16-6-pm/concert/6093680
EMEI;Barboza;925 East Pike Street;98122;Seattle;WA;;2023-11-16;19:00;33;184;https://seatgeek.com/emei-tickets/seattle-washington-barboza-2023-11-16-7-pm/concert/6096838
John Jorgenson;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2023-11-16;19:00;90;177;https://seatgeek.com/john-jorgenson-tickets/kirkland-washington-kirkland-performance-center-2023-11-16-7-pm/concert/6255299
The New Pornographers;The Showbox;1426 1st Ave;98101;Seattle;WA;;2023-11-16;20:00;62;584;https://seatgeek.com/the-new-pornographers-tickets/seattle-washington-the-showbox-2023-11-16-8-pm/concert/5993513
John Craigie;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-11-16;20:00;56;524;https://seatgeek.com/john-craigie-tickets/seattle-washington-neptune-theatre-wa-2023-11-16-8-pm/concert/6138426
EMEI;Barboza;925 East Pike Street;98122;Seattle;WA;;2023-11-17;19:00;33;70;https://seatgeek.com/emei-tickets/seattle-washington-barboza-2023-11-17-7-pm/concert/6096841
SYML;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-11-17;20:00;52;557;https://seatgeek.com/syml-tickets/seattle-washington-neptune-theatre-wa-2023-11-17-8-pm/concert/6165085
Be Your Own Pet;Neumos;925 East Pike Street;98122;Seattle;WA;;2023-11-17;20:00;49;485;https://seatgeek.com/be-your-own-pet-tickets/seattle-washington-neumos-2023-11-17-8-pm/concert/6114237
Haley Reinhart;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2023-11-17;20:00;118;183;https://seatgeek.com/haley-reinhart-tickets/kirkland-washington-kirkland-performance-center-2023-11-17-8-pm/concert/6226037
TroyBoi (18+);Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2023-11-17;20:00;75;524;https://seatgeek.com/troyboi-tickets/seattle-washington-showbox-sodo-2023-11-17-8-pm/concert/6184091
Night Ranger (21+);Emerald Queen Casino;2102 Alexander Ave;98404;Tacoma;WA;;2023-11-17;20:30;67;395;https://seatgeek.com/night-ranger-tickets/tacoma-washington-emerald-queen-casino-2023-11-17-8-30-pm/concert/6165274
Blue October (21+);Temple Theatre;47 St. Helens Ave;98402;Tacoma;WA;;2023-11-18;19:00;67;160;https://seatgeek.com/blue-october-tickets/tacoma-washington-temple-theatre-2023-11-18-7-pm/concert/6226437
Aaron Crawford;McMenamins Elks Temple;565 Broadway;98402;Tacoma;WA;;2023-11-18;19:00;50;71;https://seatgeek.com/aaron-crawford-tickets/tacoma-washington-mcmenamins-elks-temple-2023-11-18-7-pm/concert/6164269
Lauren Daigle;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2023-11-18;19:30;45;1285;https://seatgeek.com/lauren-daigle-tickets/seattle-washington-climate-pledge-arena-3-2023-11-18-7-30-pm/concert/5978426
Free Throw;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-11-18;19:30;44;524;https://seatgeek.com/free-throw-tickets/seattle-washington-neptune-theatre-wa-2023-11-18-7-30-pm/concert/6138424
Sheila E;Suquamish Clearwater Casino Resort Event Lawn;15347 Suquamish Way NE;98392;Suquamish;WA;;2023-11-18;20:00;79;406;https://seatgeek.com/sheila-e-tickets/suquamish-washington-suquamish-clearwater-casino-resort-event-lawn-2023-11-18-8-pm/concert/6048969
Ravenscoon;Neumos;925 East Pike Street;98122;Seattle;WA;;2023-11-18;20:00;63;524;https://seatgeek.com/ravenscoon-tickets/seattle-washington-neumos-2023-11-18-8-pm/concert/6114238
ARMNHMR;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2023-11-18;20:00;42;1097;https://seatgeek.com/armnhmr-tickets/seattle-washington-showbox-sodo-2023-11-18-8-pm/concert/6172347
Dance Yourself Clean;Chop Suey;1325 E Madison St;98122;Seattle;WA;;2023-11-18;21:00;18;168;https://seatgeek.com/dance-yourself-clean-tickets/seattle-washington-chop-suey-2023-11-18-9-pm/concert/6168708
Koo Koo Kanga Roo;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2023-11-19;11:00;64;155;https://seatgeek.com/koo-koo-kanga-roo-tickets/kirkland-washington-kirkland-performance-center-2023-11-19-11-am/concert/6255297
Smash Benefit: A Tribute To Sub Pop;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-11-19;19:00;59;509;https://seatgeek.com/a-smash-benefit-tickets/seattle-washington-moore-theatre-2023-11-19-7-pm/concert/6128925
Deap Vally;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-11-19;19:00;40;468;https://seatgeek.com/deap-vally-tickets/seattle-washington-neptune-theatre-wa-2023-11-19-7-pm/concert/6189218
The Maine;The Showbox;1426 1st Ave;98101;Seattle;WA;;2023-11-19;19:30;75;549;https://seatgeek.com/the-maine-tickets/seattle-washington-the-showbox-2023-11-19-7-30-pm/concert/6112575
Dale Hollow (21+);Barboza;925 East Pike Street;98122;Seattle;WA;;2023-11-19;20:00;33;133;https://seatgeek.com/dale-hollow-tickets/seattle-washington-barboza-2023-11-19-8-pm/concert/6252618
Mudhoney;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2023-11-19;20:00;60;153;https://seatgeek.com/mudhoney-tickets/seattle-washington-the-crocodile-2-2023-11-19-8-pm/concert/6007288
Nathaniel Rateliff with Kevin Morby;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2023-11-20;20:00;74;1286;https://seatgeek.com/nathaniel-rateliff-tickets/seattle-washington-paramount-theatre-wa-2023-11-20-8-pm/concert/6111513
En Vogue;Muckleshoot Events Center;2402 Auburn Way South;98002;Auburn;WA;;2023-11-20;20:00;87;213;https://seatgeek.com/en-vogue-tickets/auburn-washington-muckleshoot-events-center-2-2023-11-20-8-pm/concert/6087693
Suffocation;El Corazon;109 Eastlake Ave E;98109;Seattle;WA;;2023-11-21;18:15;71;539;https://seatgeek.com/suffocation-tickets/seattle-washington-el-corazon-2023-11-21-6-15-pm/concert/6160108
Sunn O))) with Earth;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-11-22;20:00;73;544;https://seatgeek.com/sunn-o-tickets/seattle-washington-moore-theatre-2023-11-22-8-pm/concert/6177616
Christian Death (21+);El Corazon;109 Eastlake Ave E;98109;Seattle;WA;;2023-11-22;20:00;63;121;https://seatgeek.com/christian-death-tickets/seattle-washington-el-corazon-2023-11-22-8-pm/concert/6230895
No Party For Cao Dong (21+);The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2023-11-23;19:00;189;339;https://seatgeek.com/no-party-for-cao-dong-tickets/seattle-washington-the-crocodile-2-2023-11-23-7-pm/concert/6174933
Subtronics - 2 Day Pass;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2023-11-24;03:30;199;24783;https://seatgeek.com/subtronics-tickets/tacoma-washington-tacoma-dome-2023-11-24-3-30-am/concert/6146056
Petty Thief - Tribute to Tom Petty;McMenamins Elks Temple;565 Broadway;98402;Tacoma;WA;;2023-11-24;19:00;51;68;https://seatgeek.com/petty-thief-tribute-to-tom-petty-tickets/tacoma-washington-mcmenamins-elks-temple-2023-11-24-7-pm/concert/6133403
Meshuggah with In Flames and Whitechapel;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2023-11-24;19:00;80;1113;https://seatgeek.com/meshuggah-tickets/seattle-washington-paramount-theatre-wa-2023-11-24-7-pm/concert/6087333
Subtronics;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2023-11-24;19:00;104;439;https://seatgeek.com/subtronics-tickets/tacoma-washington-tacoma-dome-2023-11-24-7-pm/concert/6146058
Geddy Lee;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-11-24;20:00;146;1330;https://seatgeek.com/geddy-lee-tickets/seattle-washington-moore-theatre-2023-11-24-8-pm/concert/6209491
The Japanese House;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-11-24;20:00;67;469;https://seatgeek.com/the-japanese-house-tickets/seattle-washington-neptune-theatre-wa-2023-11-24-8-pm/concert/6040075
Trans-Siberian Orchestra;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2023-11-25;15:00;104;1141;https://seatgeek.com/trans-siberian-orchestra-tickets/seattle-washington-climate-pledge-arena-3-2023-11-25-3-pm/concert/6157170
Mannheim Steamroller Christmas - Seattle;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2023-11-25;17:00;67;1096;https://seatgeek.com/mannheim-steamroller-tickets/seattle-washington-paramount-theatre-wa-2023-11-25-5-pm/concert/6107197
Subtronics with Of The Trees (18+);Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2023-11-25;19:00;52;435;https://seatgeek.com/subtronics-tickets/tacoma-washington-tacoma-dome-2023-11-25-7-pm/concert/6146057
Jeremy Zucker;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2023-11-25;19:30;60;486;https://seatgeek.com/jeremy-zucker-tickets/seattle-washington-showbox-sodo-2023-11-25-7-30-pm/concert/6142391
Trans-Siberian Orchestra;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2023-11-25;19:30;86;1119;https://seatgeek.com/trans-siberian-orchestra-tickets/seattle-washington-climate-pledge-arena-3-2023-11-25-7-30-pm/concert/6157174
Pepe Aguilar;ShoWare Center;625 West James Street;98032;Kent;WA;;2023-11-25;20:00;56;505;https://seatgeek.com/pepe-aguilar-tickets/kent-washington-showare-center-2023-11-25-8-pm/concert/5961134
