event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Society of the Silver Cross;The Rabbit Box;94 Pike St. Unit 11;98101;Seattle;WA;;2023-10-31;19:00;14.95;;https://www.songkick.com/concerts/41483445-society-of-the-silver-cross-at-rabbit-box
Dead Leaf Echo;Black Lab Gallery;1618 Hewitt Ave.;98201;Everett;WA;;2023-10-31;09:00;;;https://www.songkick.com/concerts/41465685-dead-leaf-echo-at-black-lab-gallery
Panda Conspiracy;The Blue Room;202 East Holly St.;98225;Bellingham;WA;;2023-10-31;19:00;;;https://www.songkick.com/concerts/41460214-panda-conspiracy-at-blue-room
Asterhouse;Sunset Tavern;5433 Ballard Avenue;98107;Seattle;WA;(206) 784-4880;2023-10-31;19:30;;;https://www.songkick.com/concerts/41450089-asterhouse-at-sunset-tavern
The Cumbieros;Nectar Lounge;412 N 36th St;98103;Seattle;WA;206-632-2020;2023-10-31;19:00;15.0;20.0;https://www.songkick.com/concerts/41391610-cumbieros-at-nectar-lounge
Earshot Jazz Festival Presents: High Pulp 2023;Clock-Out Lounge;4864 Beacon Ave SO;98108;Seattle;WA;;2023-11-01;20:30;12.0;30.0;https://www.songkick.com/festivals/3587317-earshot-jazz-presents-high-pulp/id/41329803-earshot-jazz-festival-presents-high-pulp-2023
M.O.S.S. (Seattle), diirt, Dining Dead (Seattle), and The Nags;Chop Suey;1325 E. Madison St.;98122;Seattle;WA;;2023-11-01;19:00;15.0;;https://www.songkick.com/concerts/41444115-moss-seattle-at-chop-suey
Terror/Cactus and Lobo Lara;Tractor Tavern;5213 Ballard Avenue N.w.;98107;Seattle;WA;(206) 789-3599;2023-10-31;20:00;15.0;;https://www.songkick.com/concerts/41456830-terrorcactus-at-tractor-tavern
sugar tradition;Belltown Yacht Club;2320 1st Ave;98121;Seattle;WA;(206) 617-1780;2023-11-01;20:00;;;https://www.songkick.com/concerts/41488212-sugar-tradition-at-belltown-yacht-club
High Pulp;Clock-Out Lounge;4864 Beacon Ave SO;98108;Seattle;WA;;2023-11-01;20:00;30.0;;https://www.songkick.com/concerts/41441156-high-pulp-at-clockout-lounge
Exciter and Lich King;El Corazon;109 Eastlake Ave. E.;98109;Seattle;WA;(206) 262-0482;2023-11-01;19:30;20.0;25.0;https://www.songkick.com/concerts/41286659-exciter-at-el-corazon
Soulside and Scream;The Vera Project;305 Harrison St,;98109;Seattle;WA;;2023-11-01;19:00;22.0;25.0;https://www.songkick.com/concerts/41291141-soulside-at-vera-project
Matt Andersen;The Triple Door;216 Union Street;98101;Seattle;WA;;2023-11-01;19:00;;;https://www.songkick.com/concerts/41202800-matt-andersen-at-triple-door
Modern Color;Neumos;925 East Pike Street;98122;Seattle;WA;(206) 709-9442;2023-11-01;18:30;27.0;30.0;https://www.songkick.com/concerts/41288889-modern-color-at-neumos
DYLVN;The Funhouse;109 Eastlake Ave. East;98109;Seattle;WA;(206) 262-0482;2023-10-31;20:30;;;https://www.songkick.com/concerts/41384701-dylvn-at-funhouse
Midnight Danger;Central Saloon;207 First Ave S;98104;Seattle;WA;;2023-10-31;19:00;;;https://www.songkick.com/concerts/41355189-midnight-danger-at-central-saloon
Sheku Kanneh-Mason;Benaroya Hall;200 University St.;98111;Seattle;WA;206 215 4800;2023-10-31;19:30;;;https://www.songkick.com/concerts/41414297-sheku-kannehmason-at-benaroya-hall
Onry Ozzborn, Pigeon John, and Jesse The Tree;High Dive;513 N 36th St;98103;Seattle;WA;;2023-10-31;20:00;15.0;20.0;https://www.songkick.com/concerts/41391611-onry-ozzborn-at-high-dive
Sorcha Richardson;Fremont Abbey Arts Center;4272 Fremont Ave. N.;98103;Seattle;WA;;2023-10-31;20:00;;;https://www.songkick.com/concerts/41240756-sorcha-richardson-at-fremont-abbey-arts-center
Acid Mothers Temple and Acid Mothers Temple & The Melting Paraiso U.F.O.;Black Lab Gallery;1618 Hewitt Ave.;98201;Everett;WA;;2023-10-31;20:00;;;https://www.songkick.com/concerts/41325620-acid-mothers-temple-at-black-lab-gallery
Rawayana;Neumos;925 East Pike Street;98122;Seattle;WA;(206) 709-9442;2023-10-31;19:00;25.0;35.0;https://www.songkick.com/concerts/41175996-rawayana-at-neumos
Oxxxymiron;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;206.628.3151;2023-10-31;19:00;94.0;;https://www.songkick.com/concerts/40792551-oxxxymiron-at-showbox-sodo
Deer Tick;The Crocodile;2505 First Ave.;98121;Seattle;WA;(206) 420-6351;2023-10-31;20:00;30.0;;https://www.songkick.com/concerts/41090063-deer-tick-at-crocodile
Jacquees and nick lavelle;Neptune Theatre;1303 NE 45th St.;98105;Seattle;WA;206-682-1414;2023-10-31;20:00;25.0;;https://www.songkick.com/concerts/41382607-jacquees-at-neptune-theatre
